epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1849,0.53841,0.52699,1.11405,0.86624,0.77001,0.81657,0.75216,0.77245,0.66031,1.58423,0.00332848,0.00332848,0.00332848
2,181.553,0.57441,0.58001,1.13641,0.86274,0.75304,0.80871,0.73865,0.80874,0.73758,1.69317,0.00659586,0.00659586,0.00659586
3,263.052,0.62265,0.671,1.1741,0.831,0.74248,0.79599,0.7064,0.86983,0.87565,1.68861,0.00979724,0.00979724,0.00979724
4,343.792,0.67781,0.77639,1.21365,0.87488,0.74725,0.79875,0.71793,0.8419,0.77294,1.58479,0.009703,0.009703,0.009703
5,424.498,0.67414,0.76897,1.21212,0.84544,0.76436,0.80681,0.71423,0.82953,0.78348,1.51758,0.009604,0.009604,0.009604
6,505.493,0.68321,0.78511,1.21913,0.87587,0.7305,0.79487,0.71471,0.84005,0.77933,1.60165,0.009505,0.009505,0.009505
7,588.991,0.67473,0.77175,1.21379,0.85462,0.75213,0.78861,0.70524,0.87949,0.83946,1.60241,0.009406,0.009406,0.009406
8,677.443,0.67722,0.77196,1.20984,0.87221,0.74809,0.79972,0.72107,0.88471,0.70522,1.52297,0.009307,0.009307,0.009307
9,764.813,0.67568,0.76272,1.21179,0.87573,0.75717,0.8103,0.73543,0.83705,0.68307,1.5689,0.009208,0.009208,0.009208
10,849.591,0.67147,0.7598,1.2056,0.85091,0.76998,0.81206,0.72597,0.80973,0.8156,1.56724,0.009109,0.009109,0.009109
11,933.238,0.66914,0.74801,1.20878,0.88264,0.75328,0.80212,0.72972,0.85506,0.73769,1.5905,0.00901,0.00901,0.00901
12,1016.97,0.66931,0.74374,1.20658,0.89144,0.75202,0.80224,0.72211,0.86781,0.74676,1.56134,0.008911,0.008911,0.008911
13,1100.88,0.66667,0.74622,1.19959,0.83039,0.77055,0.80831,0.7188,0.83836,0.7824,1.58751,0.008812,0.008812,0.008812
14,1185.07,0.66343,0.74275,1.20333,0.87125,0.73595,0.79978,0.72119,0.87164,0.71883,1.64855,0.008713,0.008713,0.008713
15,1268.83,0.66365,0.7338,1.20356,0.85488,0.76136,0.80357,0.73092,0.83282,0.67599,1.54533,0.008614,0.008614,0.008614
16,1352.86,0.65851,0.73484,1.19541,0.87391,0.75383,0.81173,0.74001,0.84641,0.68651,1.51412,0.008515,0.008515,0.008515
17,1436.49,0.65471,0.71383,1.19607,0.89003,0.75067,0.80923,0.73918,0.83512,0.67025,1.62203,0.008416,0.008416,0.008416
18,1520.18,0.65223,0.71943,1.19533,0.87261,0.74965,0.80319,0.73441,0.84215,0.73922,1.57932,0.008317,0.008317,0.008317
19,1604.1,0.65014,0.70525,1.18888,0.88591,0.75128,0.81055,0.73473,0.83195,0.71753,1.54739,0.008218,0.008218,0.008218
20,1688.02,0.64896,0.70397,1.19133,0.87396,0.76208,0.81783,0.73572,0.82668,0.68715,1.5779,0.008119,0.008119,0.008119
21,1771.67,0.63788,0.68047,1.18284,0.85247,0.77127,0.81344,0.74151,0.79304,0.68948,1.54398,0.00802,0.00802,0.00802
22,1855.09,0.64291,0.70077,1.18734,0.84266,0.77041,0.81835,0.73319,0.81235,0.68045,1.5727,0.007921,0.007921,0.007921
23,1938.95,0.63714,0.68292,1.18097,0.8788,0.75709,0.80421,0.73161,0.84695,0.70345,1.66096,0.007822,0.007822,0.007822
24,2022.78,0.63976,0.68577,1.18259,0.88359,0.74504,0.81242,0.74508,0.82409,0.69434,1.56668,0.007723,0.007723,0.007723
25,2106.65,0.63668,0.67698,1.18383,0.89229,0.75923,0.81735,0.74113,0.8113,0.67801,1.52632,0.007624,0.007624,0.007624
26,2190.29,0.62966,0.66352,1.17741,0.90263,0.76128,0.81597,0.74188,0.83813,0.65929,1.51923,0.007525,0.007525,0.007525
27,2273.96,0.62672,0.6576,1.17497,0.88943,0.7536,0.81129,0.74167,0.84224,0.67452,1.64443,0.007426,0.007426,0.007426
28,2357.56,0.63115,0.67098,1.1799,0.87851,0.74586,0.81616,0.75243,0.81603,0.62061,1.55957,0.007327,0.007327,0.007327
29,2441.4,0.61882,0.65177,1.1691,0.89508,0.7542,0.81248,0.74134,0.79519,0.66046,1.57291,0.007228,0.007228,0.007228
30,2525.49,0.61897,0.651,1.17157,0.90429,0.74842,0.81976,0.74823,0.77897,0.65591,1.55638,0.007129,0.007129,0.007129
31,2609.47,0.62328,0.64844,1.17248,0.87837,0.76777,0.81407,0.74486,0.82325,0.66482,1.55907,0.00703,0.00703,0.00703
32,2693.5,0.6167,0.64618,1.16487,0.88927,0.75455,0.82046,0.74376,0.79407,0.67546,1.59262,0.006931,0.006931,0.006931
33,2777.45,0.61755,0.63784,1.17052,0.88606,0.75264,0.80433,0.74572,0.80676,0.66434,1.59567,0.006832,0.006832,0.006832
34,2861.36,0.61646,0.64388,1.16862,0.87113,0.76301,0.81519,0.74207,0.80419,0.6667,1.60613,0.006733,0.006733,0.006733
35,2945.24,0.61475,0.64242,1.1664,0.86363,0.77152,0.81295,0.74638,0.80165,0.66726,1.56556,0.006634,0.006634,0.006634
36,3029.38,0.60719,0.6268,1.1604,0.86703,0.75974,0.81561,0.74698,0.79713,0.68425,1.61035,0.006535,0.006535,0.006535
37,3113.23,0.60887,0.62054,1.16034,0.88185,0.76066,0.81486,0.74792,0.80027,0.6907,1.58006,0.006436,0.006436,0.006436
38,3196.92,0.60517,0.6242,1.15669,0.88181,0.75645,0.82097,0.75418,0.79554,0.6686,1.61219,0.006337,0.006337,0.006337
39,3280.81,0.60003,0.61048,1.15212,0.87529,0.75951,0.82287,0.75066,0.81437,0.65114,1.63744,0.006238,0.006238,0.006238
40,3364.94,0.60478,0.61444,1.1569,0.88159,0.76116,0.81674,0.75207,0.79254,0.67753,1.59948,0.006139,0.006139,0.006139
41,3448.92,0.60534,0.61081,1.16197,0.88224,0.76599,0.8167,0.75141,0.78749,0.62939,1.58009,0.00604,0.00604,0.00604
42,3533,0.59206,0.59344,1.146,0.86363,0.76671,0.81059,0.74665,0.79024,0.62568,1.56693,0.005941,0.005941,0.005941
43,3617.15,0.59425,0.6007,1.14926,0.87956,0.7647,0.82326,0.75165,0.7891,0.64051,1.5815,0.005842,0.005842,0.005842
44,3700.96,0.59191,0.58939,1.14778,0.88379,0.76222,0.82834,0.75555,0.78528,0.65294,1.57234,0.005743,0.005743,0.005743
45,3784.74,0.58526,0.59536,1.14573,0.85512,0.77047,0.81186,0.74435,0.77023,0.65702,1.57941,0.005644,0.005644,0.005644
46,3868.44,0.58418,0.58228,1.13919,0.86112,0.78504,0.81575,0.74615,0.77194,0.66659,1.51065,0.005545,0.005545,0.005545
47,3952.26,0.58931,0.58294,1.14728,0.87803,0.76988,0.82066,0.74626,0.77938,0.65629,1.55589,0.005446,0.005446,0.005446
48,4035.95,0.58719,0.57898,1.1443,0.89139,0.7713,0.8236,0.74851,0.79032,0.6381,1.58359,0.005347,0.005347,0.005347
49,4119.46,0.5834,0.5799,1.1414,0.87289,0.77216,0.81333,0.7414,0.79268,0.6456,1.59457,0.005248,0.005248,0.005248
50,4202.62,0.58242,0.58395,1.1396,0.8935,0.7599,0.82552,0.75251,0.79047,0.58467,1.55383,0.005149,0.005149,0.005149
51,4286.11,0.58102,0.57339,1.14068,0.8878,0.75499,0.82155,0.75734,0.78624,0.59924,1.55545,0.00505,0.00505,0.00505
52,4370.08,0.58056,0.57445,1.13746,0.88191,0.76431,0.8167,0.75457,0.78894,0.59874,1.54391,0.004951,0.004951,0.004951
53,4453.73,0.57484,0.56428,1.13625,0.88147,0.77514,0.82237,0.74857,0.77842,0.63743,1.56477,0.004852,0.004852,0.004852
54,4542.47,0.57202,0.55685,1.1338,0.87852,0.76584,0.82237,0.75599,0.77553,0.63883,1.552,0.004753,0.004753,0.004753
55,4632.01,0.57133,0.55869,1.13465,0.89375,0.75895,0.81616,0.75437,0.7822,0.64624,1.59132,0.004654,0.004654,0.004654
56,4721.14,0.57077,0.54972,1.13307,0.88701,0.76412,0.81866,0.74974,0.77347,0.65144,1.5893,0.004555,0.004555,0.004555
57,4810.15,0.56981,0.55985,1.13074,0.89426,0.764,0.82319,0.75847,0.77399,0.65616,1.55585,0.004456,0.004456,0.004456
58,4899.14,0.56636,0.54171,1.12993,0.8967,0.76201,0.82658,0.75781,0.77515,0.6545,1.54332,0.004357,0.004357,0.004357
59,4987.83,0.56533,0.54088,1.12519,0.90026,0.76833,0.82516,0.75477,0.77444,0.68057,1.5465,0.004258,0.004258,0.004258
60,5075.92,0.56265,0.5435,1.12443,0.89197,0.76708,0.81757,0.74703,0.77681,0.65372,1.57048,0.004159,0.004159,0.004159
61,5164.07,0.56086,0.53658,1.12602,0.88683,0.77133,0.81653,0.74835,0.77642,0.65071,1.57185,0.00406,0.00406,0.00406
62,5252.2,0.55843,0.53488,1.12585,0.88804,0.76986,0.81729,0.74755,0.76948,0.64283,1.56677,0.003961,0.003961,0.003961
63,5340.33,0.55695,0.53001,1.12286,0.89547,0.76818,0.81585,0.7478,0.77563,0.6311,1.57779,0.003862,0.003862,0.003862
64,5427.93,0.54819,0.51567,1.11508,0.90249,0.76373,0.81692,0.75263,0.77758,0.6288,1.57873,0.003763,0.003763,0.003763
65,5515.27,0.55409,0.52257,1.11855,0.9055,0.76697,0.81669,0.75329,0.78044,0.61617,1.5886,0.003664,0.003664,0.003664
66,5602.42,0.55606,0.52921,1.12156,0.90096,0.76864,0.81583,0.7562,0.77662,0.62131,1.59232,0.003565,0.003565,0.003565
67,5688.01,0.5496,0.51576,1.1162,0.89573,0.76746,0.81543,0.75331,0.77707,0.62742,1.58581,0.003466,0.003466,0.003466
68,5772.87,0.54846,0.51416,1.11449,0.89078,0.76468,0.81587,0.75391,0.77413,0.63151,1.59098,0.003367,0.003367,0.003367
69,5857.96,0.54038,0.49947,1.11006,0.89236,0.76733,0.81661,0.75443,0.77174,0.63835,1.60406,0.003268,0.003268,0.003268
70,5942.63,0.5461,0.51132,1.11408,0.8915,0.76668,0.81862,0.75424,0.77515,0.6362,1.60861,0.003169,0.003169,0.003169
71,6027.33,0.54001,0.50186,1.10571,0.88895,0.76628,0.82005,0.75423,0.77218,0.64442,1.61498,0.00307,0.00307,0.00307
72,6111.6,0.5353,0.49393,1.10556,0.89023,0.76436,0.81864,0.75209,0.77112,0.64484,1.62752,0.002971,0.002971,0.002971
73,6194.97,0.53386,0.50022,1.10428,0.89248,0.76298,0.8191,0.75202,0.77197,0.64651,1.63803,0.002872,0.002872,0.002872
74,6278.49,0.53466,0.49392,1.10436,0.8977,0.76389,0.81941,0.7514,0.77015,0.65745,1.64398,0.002773,0.002773,0.002773
75,6362.48,0.53464,0.49015,1.10791,0.89782,0.76238,0.81637,0.75048,0.7708,0.66609,1.6579,0.002674,0.002674,0.002674
76,6446.88,0.52717,0.47739,1.09664,0.89851,0.76552,0.81508,0.7492,0.77204,0.65862,1.66271,0.002575,0.002575,0.002575
77,6534.46,0.52355,0.47119,1.09592,0.89769,0.76487,0.81402,0.74911,0.7717,0.65698,1.65794,0.002476,0.002476,0.002476
78,6623.1,0.52789,0.47908,1.10034,0.88744,0.7651,0.81532,0.75083,0.77311,0.64982,1.65565,0.002377,0.002377,0.002377
79,6709.81,0.52194,0.4752,1.09417,0.88473,0.76583,0.81341,0.74863,0.77479,0.64747,1.65715,0.002278,0.002278,0.002278
80,6794.69,0.52043,0.47456,1.09517,0.88442,0.76646,0.81246,0.74783,0.77333,0.64337,1.65559,0.002179,0.002179,0.002179
81,6879.21,0.51821,0.46694,1.0936,0.88392,0.76532,0.81326,0.74777,0.77217,0.64372,1.65445,0.00208,0.00208,0.00208
82,6966.1,0.52011,0.47034,1.09439,0.8813,0.76915,0.81379,0.74763,0.7736,0.641,1.65961,0.001981,0.001981,0.001981
83,7055.18,0.5145,0.45513,1.09094,0.88308,0.76856,0.81541,0.74769,0.77243,0.64015,1.66479,0.001882,0.001882,0.001882
84,7143.84,0.51595,0.46721,1.09208,0.88201,0.76822,0.8154,0.74803,0.77348,0.64481,1.66915,0.001783,0.001783,0.001783
85,7232.91,0.51009,0.44764,1.08243,0.87962,0.76748,0.81321,0.74699,0.77346,0.64754,1.66967,0.001684,0.001684,0.001684
86,7321.83,0.50956,0.45392,1.0875,0.87843,0.76746,0.81326,0.74711,0.77299,0.64967,1.67282,0.001585,0.001585,0.001585
87,7410.6,0.50563,0.45073,1.08406,0.87785,0.76767,0.81356,0.74828,0.77255,0.64848,1.67688,0.001486,0.001486,0.001486
88,7499.03,0.5022,0.43684,1.08268,0.87783,0.76742,0.81369,0.74883,0.77252,0.65145,1.67615,0.001387,0.001387,0.001387
89,7587.36,0.50654,0.44269,1.08872,0.87693,0.76723,0.81423,0.74952,0.77057,0.65222,1.67459,0.001288,0.001288,0.001288
90,7675.52,0.50236,0.44175,1.07957,0.87659,0.76738,0.81416,0.74941,0.77181,0.65255,1.67501,0.001189,0.001189,0.001189
91,7787.54,0.36579,0.22195,0.9871,0.87636,0.76664,0.81496,0.74894,0.77052,0.65583,1.67446,0.00109,0.00109,0.00109
92,7874.68,0.35944,0.21593,0.98219,0.87664,0.76705,0.81509,0.74982,0.7705,0.65752,1.67975,0.000991,0.000991,0.000991
