epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3828.29,0.6704,0.79091,1.21404,0.90069,0.74469,0.81151,0.74389,0.80197,0.71762,1.59145,0.005842,0.005842,0.005842
44,3915.15,0.66783,0.77533,1.2103,0.89129,0.74434,0.81214,0.74689,0.81058,0.70495,1.59619,0.005743,0.005743,0.005743
45,4001.65,0.65878,0.76885,1.20898,0.88583,0.74321,0.80399,0.74313,0.79345,0.73437,1.6134,0.005644,0.005644,0.005644
46,4090.49,0.65289,0.75785,1.19664,0.85496,0.76147,0.80654,0.73989,0.80135,0.70554,1.63654,0.005545,0.005545,0.005545
47,4178.66,0.65688,0.75103,1.20374,0.86839,0.75842,0.81204,0.74654,0.78459,0.72369,1.57066,0.005446,0.005446,0.005446
48,4266.53,0.65202,0.74891,1.19921,0.87235,0.76205,0.81855,0.75143,0.78496,0.69701,1.57184,0.005347,0.005347,0.005347
49,4354.02,0.64994,0.73771,1.19607,0.88354,0.75597,0.81297,0.7466,0.81401,0.66799,1.61771,0.005248,0.005248,0.005248
50,4441.17,0.64845,0.74208,1.19692,0.87241,0.75999,0.81049,0.74617,0.8118,0.66194,1.59678,0.005149,0.005149,0.005149
51,4528.36,0.64737,0.73967,1.19436,0.88297,0.74973,0.81002,0.7496,0.82318,0.68002,1.62968,0.00505,0.00505,0.00505
52,4615.76,0.64436,0.72906,1.18911,0.87914,0.75983,0.81252,0.75079,0.80212,0.68425,1.59214,0.004951,0.004951,0.004951
53,4703.04,0.63651,0.72823,1.19141,0.87343,0.7685,0.81656,0.75161,0.80862,0.65647,1.60734,0.004852,0.004852,0.004852
54,4790.3,0.63373,0.70968,1.18485,0.86787,0.76518,0.81601,0.75026,0.80367,0.64001,1.62979,0.004753,0.004753,0.004753
55,4881.2,0.63,0.70248,1.18205,0.88261,0.75532,0.81853,0.75108,0.8079,0.65111,1.62742,0.004654,0.004654,0.004654
56,4973.25,0.63085,0.69501,1.18505,0.87727,0.76159,0.81738,0.75222,0.80165,0.66577,1.61265,0.004555,0.004555,0.004555
57,5065.67,0.62638,0.6937,1.17862,0.87967,0.75619,0.81684,0.7537,0.81032,0.65951,1.62486,0.004456,0.004456,0.004456
58,5157.57,0.62225,0.68296,1.17793,0.88495,0.75902,0.81578,0.75101,0.81126,0.65959,1.62584,0.004357,0.004357,0.004357
59,5249.72,0.62325,0.68099,1.1735,0.87325,0.76218,0.8159,0.75231,0.80717,0.62495,1.61082,0.004258,0.004258,0.004258
60,5341.84,0.61746,0.68303,1.17115,0.86792,0.76851,0.81633,0.75335,0.80957,0.63569,1.61289,0.004159,0.004159,0.004159
61,5433.82,0.61992,0.67746,1.17537,0.88085,0.7589,0.815,0.75134,0.80406,0.64033,1.61241,0.00406,0.00406,0.00406
62,5526.05,0.61664,0.66554,1.17476,0.8777,0.75637,0.81226,0.7492,0.79469,0.64524,1.59405,0.003961,0.003961,0.003961
63,5618.1,0.61321,0.65725,1.1722,0.88417,0.75697,0.81529,0.74897,0.79737,0.64844,1.58277,0.003862,0.003862,0.003862
64,5710.15,0.60425,0.64026,1.16214,0.86842,0.76266,0.81442,0.75048,0.79649,0.65967,1.57029,0.003763,0.003763,0.003763
65,5802.13,0.60644,0.64884,1.16252,0.86378,0.7705,0.81447,0.75274,0.79416,0.66403,1.57112,0.003664,0.003664,0.003664
66,5894.07,0.6104,0.65877,1.16484,0.86451,0.76747,0.80987,0.75038,0.80163,0.66206,1.57533,0.003565,0.003565,0.003565
67,5986.01,0.60288,0.64567,1.1613,0.86133,0.77195,0.81171,0.75335,0.79674,0.65908,1.5554,0.003466,0.003466,0.003466
68,6078.32,0.60045,0.6395,1.15813,0.86407,0.77163,0.81152,0.75252,0.80208,0.65191,1.56575,0.003367,0.003367,0.003367
69,6170.58,0.59632,0.6269,1.15811,0.86752,0.76987,0.81116,0.75327,0.79959,0.66425,1.57968,0.003268,0.003268,0.003268
70,6262.72,0.6005,0.63828,1.16064,0.8756,0.76313,0.81087,0.75507,0.79147,0.65571,1.58665,0.003169,0.003169,0.003169
71,6354.61,0.59153,0.62065,1.14907,0.87469,0.76454,0.81413,0.75773,0.79261,0.65878,1.59259,0.00307,0.00307,0.00307
72,6446.58,0.58697,0.61007,1.14626,0.8759,0.76051,0.81429,0.75733,0.79278,0.65969,1.59945,0.002971,0.002971,0.002971
73,6538.3,0.58209,0.61404,1.14558,0.8771,0.75919,0.8158,0.75744,0.7954,0.65356,1.60898,0.002872,0.002872,0.002872
74,6630.39,0.58549,0.6098,1.14772,0.88306,0.75489,0.81609,0.75676,0.79,0.65194,1.60766,0.002773,0.002773,0.002773
75,6722.42,0.58054,0.6034,1.14609,0.8817,0.7533,0.81581,0.75674,0.78474,0.65218,1.61066,0.002674,0.002674,0.002674
76,6814.16,0.57525,0.59235,1.13694,0.88108,0.75395,0.81585,0.75725,0.78641,0.65239,1.61833,0.002575,0.002575,0.002575
77,6905.95,0.57616,0.58899,1.13819,0.88061,0.75502,0.81741,0.75841,0.78548,0.65049,1.6131,0.002476,0.002476,0.002476
78,6998.26,0.57596,0.59383,1.13856,0.88665,0.75966,0.81777,0.75844,0.78495,0.64775,1.60978,0.002377,0.002377,0.002377
79,7090.18,0.56848,0.58673,1.13369,0.88736,0.76065,0.8174,0.75768,0.78638,0.64312,1.61144,0.002278,0.002278,0.002278
80,7181.93,0.56946,0.58078,1.13488,0.88788,0.76187,0.81748,0.75792,0.78668,0.64461,1.6087,0.002179,0.002179,0.002179
