epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4280.1,0.69553,0.84508,1.26138,0.93843,0.86454,0.92841,0.81792,0.79027,0.55271,1.522,0.007921,0.007921,0.007921
44,4384.13,0.69749,0.82893,1.25931,0.93212,0.88396,0.92945,0.81702,0.78338,0.54884,1.53002,0.0078715,0.0078715,0.0078715
45,4490.63,0.69289,0.83312,1.25893,0.9369,0.87989,0.93236,0.81893,0.77187,0.55619,1.53207,0.007822,0.007822,0.007822
46,4596.07,0.69131,0.82156,1.25263,0.94158,0.87777,0.93083,0.82222,0.77274,0.55297,1.53795,0.0077725,0.0077725,0.0077725
47,4700.01,0.68711,0.81588,1.25179,0.9407,0.88788,0.93194,0.82042,0.77734,0.51988,1.53823,0.007723,0.007723,0.007723
48,4804.1,0.67848,0.80791,1.24539,0.95,0.87765,0.93464,0.82183,0.76188,0.53935,1.52833,0.0076735,0.0076735,0.0076735
49,4909.1,0.67648,0.79849,1.24247,0.93238,0.88454,0.93311,0.82427,0.74235,0.55239,1.51604,0.007624,0.007624,0.007624
50,5012.89,0.68081,0.78981,1.24365,0.93817,0.88429,0.93132,0.81965,0.75955,0.53394,1.53345,0.0075745,0.0075745,0.0075745
51,5117.08,0.6823,0.79742,1.24688,0.94567,0.87718,0.9287,0.81647,0.75804,0.54245,1.52334,0.007525,0.007525,0.007525
52,5222.61,0.67642,0.7872,1.24439,0.951,0.8768,0.92895,0.81493,0.75565,0.53013,1.51224,0.0074755,0.0074755,0.0074755
53,5326.36,0.67005,0.78248,1.23541,0.93262,0.88405,0.93334,0.81886,0.77364,0.51961,1.53968,0.007426,0.007426,0.007426
54,5429.77,0.66782,0.77259,1.23399,0.94247,0.88356,0.9351,0.8245,0.76436,0.516,1.52811,0.0073765,0.0073765,0.0073765
55,5533.66,0.66509,0.76378,1.22949,0.93818,0.89707,0.93545,0.82632,0.76634,0.48089,1.50104,0.007327,0.007327,0.007327
56,5638.46,0.66649,0.76062,1.23351,0.95227,0.87902,0.93578,0.82452,0.76002,0.50625,1.49229,0.0072775,0.0072775,0.0072775
57,5742.52,0.66079,0.75865,1.23079,0.94709,0.88235,0.93609,0.82285,0.75847,0.50422,1.49194,0.007228,0.007228,0.007228
58,5846.24,0.66059,0.76704,1.23304,0.94631,0.89323,0.93444,0.82642,0.76512,0.49607,1.49587,0.0071785,0.0071785,0.0071785
59,5950.69,0.6626,0.75161,1.23057,0.94272,0.89256,0.93453,0.82458,0.75982,0.51379,1.50457,0.007129,0.007129,0.007129
60,6053.46,0.66034,0.7354,1.22815,0.94357,0.88794,0.93268,0.82815,0.7595,0.50994,1.50977,0.0070795,0.0070795,0.0070795
61,6157.46,0.6624,0.74998,1.23173,0.94343,0.8879,0.93402,0.82546,0.75537,0.52077,1.51626,0.00703,0.00703,0.00703
62,6262.22,0.65377,0.73508,1.22041,0.93781,0.89593,0.93589,0.82586,0.75338,0.52443,1.51842,0.0069805,0.0069805,0.0069805
63,6367.59,0.65293,0.735,1.22082,0.93909,0.89111,0.93623,0.82921,0.75763,0.51097,1.52455,0.006931,0.006931,0.006931
64,6472.88,0.6478,0.72336,1.21832,0.94665,0.88649,0.93715,0.82768,0.75917,0.51726,1.52622,0.0068815,0.0068815,0.0068815
65,6577.74,0.65318,0.73014,1.22154,0.9486,0.88788,0.93579,0.82904,0.75203,0.51536,1.51424,0.006832,0.006832,0.006832
66,6683.18,0.65161,0.72601,1.22221,0.94582,0.89172,0.9349,0.82831,0.75693,0.51021,1.52674,0.0067825,0.0067825,0.0067825
67,6788.07,0.64524,0.70769,1.21723,0.94182,0.89071,0.93392,0.82798,0.75486,0.50799,1.51262,0.006733,0.006733,0.006733
68,6892.21,0.64734,0.71336,1.22179,0.94849,0.88683,0.93382,0.83018,0.75357,0.51036,1.50581,0.0066835,0.0066835,0.0066835
69,6997.26,0.64604,0.70553,1.21983,0.94595,0.89153,0.93356,0.82888,0.7538,0.51214,1.50751,0.006634,0.006634,0.006634
70,7103.04,0.63949,0.6971,1.21312,0.94513,0.8905,0.93421,0.83101,0.76038,0.50699,1.51951,0.0065845,0.0065845,0.0065845
71,7206.22,0.63846,0.70148,1.20862,0.94001,0.89162,0.93459,0.83257,0.76375,0.50894,1.52484,0.006535,0.006535,0.006535
72,7310.55,0.63172,0.69046,1.20445,0.94068,0.89199,0.93462,0.83307,0.7661,0.50731,1.52435,0.0064855,0.0064855,0.0064855
73,7416.65,0.63754,0.68992,1.20777,0.94253,0.89418,0.93457,0.83047,0.76699,0.5073,1.53266,0.006436,0.006436,0.006436
74,7521.75,0.63778,0.69245,1.20987,0.9394,0.89736,0.93487,0.82947,0.76671,0.50852,1.52886,0.0063865,0.0063865,0.0063865
75,7625.24,0.64122,0.69158,1.21332,0.93913,0.89615,0.93468,0.82933,0.76907,0.50467,1.53261,0.006337,0.006337,0.006337
76,7731.13,0.63005,0.67979,1.20181,0.93892,0.89761,0.93445,0.82964,0.77043,0.50363,1.53282,0.0062875,0.0062875,0.0062875
77,7836.54,0.62401,0.67308,1.19884,0.94098,0.89594,0.93447,0.82995,0.76988,0.50407,1.53556,0.006238,0.006238,0.006238
78,7940.83,0.63029,0.66719,1.20086,0.94133,0.89413,0.93526,0.8311,0.76918,0.50439,1.53516,0.0061885,0.0061885,0.0061885
79,8046.71,0.63197,0.67602,1.20645,0.94141,0.89567,0.93458,0.8312,0.7707,0.49749,1.53767,0.006139,0.006139,0.006139
80,8152.89,0.62392,0.66282,1.19741,0.94173,0.89533,0.93433,0.83108,0.77111,0.49579,1.54392,0.0060895,0.0060895,0.0060895
81,8257.32,0.62662,0.67111,1.2007,0.94045,0.89442,0.93279,0.83013,0.77253,0.49479,1.54615,0.00604,0.00604,0.00604
82,8361.57,0.6259,0.66455,1.19781,0.9422,0.89479,0.93377,0.83059,0.77165,0.49637,1.54795,0.0059905,0.0059905,0.0059905
83,8466.62,0.61565,0.65414,1.19118,0.94288,0.89403,0.93341,0.82901,0.77074,0.4986,1.54726,0.005941,0.005941,0.005941
84,8571.1,0.63277,0.67813,1.20173,0.94224,0.89317,0.93301,0.8302,0.7707,0.49529,1.5488,0.0058915,0.0058915,0.0058915
85,8674.56,0.61956,0.65544,1.19343,0.94132,0.8927,0.9326,0.82889,0.76883,0.49312,1.54729,0.005842,0.005842,0.005842
86,8780.35,0.62172,0.66128,1.1947,0.94193,0.89255,0.93257,0.82891,0.76845,0.49257,1.54971,0.0057925,0.0057925,0.0057925
87,8885.06,0.61881,0.65351,1.19105,0.94237,0.89226,0.93228,0.82938,0.76799,0.49151,1.54991,0.005743,0.005743,0.005743
88,8990.17,0.61392,0.65201,1.18753,0.94453,0.89174,0.93178,0.8291,0.76718,0.49076,1.54853,0.0056935,0.0056935,0.0056935
89,9093.64,0.61088,0.63839,1.18705,0.94445,0.8922,0.93199,0.82885,0.76679,0.48801,1.54866,0.005644,0.005644,0.005644
90,9197.74,0.61238,0.64206,1.19053,0.94234,0.89386,0.93206,0.82827,0.76574,0.48804,1.55046,0.0055945,0.0055945,0.0055945
91,9301.32,0.6109,0.63422,1.18752,0.9445,0.89358,0.93201,0.82876,0.76487,0.48811,1.5495,0.005545,0.005545,0.005545
92,9405.17,0.61111,0.63556,1.18514,0.94324,0.89414,0.93207,0.82918,0.76363,0.48693,1.54888,0.0054955,0.0054955,0.0054955
93,9509.17,0.61237,0.6391,1.18966,0.94,0.89434,0.93195,0.82984,0.76317,0.48671,1.5489,0.005446,0.005446,0.005446
94,9615.23,0.60571,0.63179,1.18218,0.93961,0.89493,0.93168,0.82993,0.76328,0.48818,1.55311,0.0053965,0.0053965,0.0053965
95,9718.59,0.6012,0.61867,1.18101,0.93985,0.89548,0.93157,0.82952,0.76267,0.48697,1.55238,0.005347,0.005347,0.005347
96,9822.63,0.61105,0.63579,1.18815,0.94,0.89724,0.93132,0.82958,0.76153,0.48587,1.55149,0.0052975,0.0052975,0.0052975
97,9927.24,0.60333,0.62674,1.18387,0.93888,0.89816,0.9306,0.82979,0.76042,0.48545,1.55069,0.005248,0.005248,0.005248
98,10031.4,0.5968,0.61392,1.17723,0.94063,0.89621,0.93018,0.8291,0.76004,0.48421,1.55003,0.0051985,0.0051985,0.0051985
99,10134.5,0.60606,0.62624,1.18449,0.93128,0.90572,0.92935,0.82805,0.75988,0.48467,1.54893,0.005149,0.005149,0.005149
100,10239.8,0.59545,0.61443,1.17562,0.92998,0.9052,0.92786,0.82732,0.75997,0.48367,1.5491,0.0050995,0.0050995,0.0050995
101,10344.4,0.6008,0.61328,1.17967,0.92945,0.90566,0.92675,0.82676,0.75922,0.48377,1.5483,0.00505,0.00505,0.00505
102,10448.4,0.59705,0.61499,1.17705,0.933,0.90231,0.92605,0.8266,0.75872,0.48351,1.54707,0.0050005,0.0050005,0.0050005
103,10554,0.60471,0.61015,1.18416,0.93317,0.90542,0.92764,0.82687,0.75833,0.48327,1.54658,0.004951,0.004951,0.004951
104,10659,0.59215,0.60828,1.17336,0.93159,0.90413,0.92598,0.82638,0.75858,0.48246,1.54726,0.0049015,0.0049015,0.0049015
105,10764.1,0.59575,0.61048,1.17452,0.92979,0.90565,0.92591,0.82622,0.75857,0.4829,1.54747,0.004852,0.004852,0.004852
106,10868.5,0.5902,0.60063,1.16818,0.93038,0.90581,0.9258,0.82634,0.75849,0.48108,1.54725,0.0048025,0.0048025,0.0048025
107,10973.7,0.59519,0.60572,1.17459,0.93003,0.90868,0.92794,0.82655,0.75832,0.48068,1.54664,0.004753,0.004753,0.004753
108,11078.6,0.58769,0.59051,1.16939,0.93038,0.90857,0.92775,0.82528,0.75815,0.47933,1.54718,0.0047035,0.0047035,0.0047035
109,11182.1,0.5923,0.60247,1.17376,0.93053,0.90866,0.92774,0.82576,0.75778,0.47827,1.55171,0.004654,0.004654,0.004654
110,11285.8,0.58293,0.58428,1.16795,0.93088,0.9086,0.9275,0.82495,0.7569,0.47696,1.55133,0.0046045,0.0046045,0.0046045
111,11390.9,0.58205,0.58244,1.16632,0.93089,0.9087,0.92731,0.82529,0.75663,0.47593,1.55203,0.004555,0.004555,0.004555
112,11495.2,0.58035,0.58394,1.16211,0.9308,0.90879,0.92737,0.82556,0.75539,0.47562,1.55216,0.0045055,0.0045055,0.0045055
113,11598.9,0.58567,0.58821,1.16913,0.93079,0.90877,0.92716,0.82558,0.75465,0.47376,1.55294,0.004456,0.004456,0.004456
114,11705.1,0.58386,0.58036,1.1647,0.93072,0.90877,0.92718,0.82485,0.7551,0.47187,1.55325,0.0044065,0.0044065,0.0044065
115,11809.9,0.58285,0.58107,1.16218,0.9304,0.90916,0.92723,0.82481,0.75511,0.47036,1.55909,0.004357,0.004357,0.004357
116,11913.9,0.58225,0.58808,1.16567,0.93087,0.90885,0.92719,0.82454,0.75508,0.46996,1.55918,0.0043075,0.0043075,0.0043075
117,12018.4,0.58177,0.58354,1.16516,0.94549,0.89507,0.92727,0.82423,0.75477,0.46793,1.55941,0.004258,0.004258,0.004258
118,12124.2,0.57972,0.56779,1.16486,0.94635,0.89486,0.92727,0.82419,0.75441,0.46783,1.55959,0.0042085,0.0042085,0.0042085
119,12227.3,0.57687,0.5786,1.1612,0.94655,0.8949,0.92726,0.82522,0.7548,0.46737,1.56088,0.004159,0.004159,0.004159
120,12330.1,0.57324,0.56974,1.15282,0.94661,0.89414,0.92719,0.82477,0.75495,0.46585,1.56177,0.0041095,0.0041095,0.0041095
121,12429.6,0.57034,0.56426,1.15585,0.9468,0.89427,0.92714,0.82525,0.75287,0.46647,1.56469,0.00406,0.00406,0.00406
122,12530,0.568,0.56143,1.15224,0.93348,0.90867,0.9281,0.82487,0.75243,0.46585,1.56498,0.0040105,0.0040105,0.0040105
123,12635.3,0.56715,0.55542,1.1499,0.94487,0.89887,0.92802,0.82504,0.75274,0.46602,1.5662,0.003961,0.003961,0.003961
124,12740.5,0.57377,0.56815,1.15523,0.94839,0.89589,0.92803,0.82388,0.75213,0.46508,1.56697,0.0039115,0.0039115,0.0039115
125,12845.9,0.56864,0.5566,1.15157,0.94449,0.89878,0.92773,0.82419,0.75128,0.46492,1.57135,0.003862,0.003862,0.003862
126,12948.6,0.56806,0.56205,1.15226,0.94427,0.89925,0.92779,0.82416,0.74982,0.46504,1.56983,0.0038125,0.0038125,0.0038125
127,13048.7,0.56908,0.55253,1.15314,0.94845,0.89583,0.92755,0.82377,0.74981,0.46411,1.57084,0.003763,0.003763,0.003763
128,13148.2,0.56693,0.55098,1.15151,0.94399,0.90045,0.9275,0.8243,0.74937,0.46569,1.5745,0.0037135,0.0037135,0.0037135
129,13247,0.56659,0.55241,1.15337,0.94423,0.90171,0.9276,0.82443,0.74912,0.4645,1.57455,0.003664,0.003664,0.003664
130,13342.5,0.5684,0.54517,1.15687,0.94351,0.90223,0.92752,0.82445,0.7484,0.46492,1.58358,0.0036145,0.0036145,0.0036145
131,13438,0.5603,0.54451,1.14905,0.94315,0.9025,0.92741,0.82432,0.74966,0.46359,1.58548,0.003565,0.003565,0.003565
132,13532.5,0.56261,0.55145,1.14595,0.94309,0.90304,0.9274,0.82421,0.74796,0.46395,1.58416,0.0035155,0.0035155,0.0035155
133,13628,0.55753,0.52926,1.14047,0.94339,0.90316,0.92727,0.82383,0.74741,0.46169,1.5841,0.003466,0.003466,0.003466
134,13724.5,0.56476,0.5418,1.15056,0.94889,0.89926,0.92727,0.82425,0.74706,0.4619,1.58494,0.0034165,0.0034165,0.0034165
135,13821.4,0.55949,0.54126,1.14481,0.94922,0.89899,0.92686,0.82347,0.74601,0.46234,1.5873,0.003367,0.003367,0.003367
136,13918.3,0.56006,0.53014,1.14515,0.94914,0.89961,0.92648,0.82312,0.745,0.46415,1.59583,0.0033175,0.0033175,0.0033175
137,14015,0.55934,0.53187,1.14344,0.9503,0.90056,0.92628,0.82424,0.74406,0.46374,1.5942,0.003268,0.003268,0.003268
138,14111.9,0.55973,0.53419,1.1447,0.95,0.89847,0.92512,0.82467,0.74559,0.46307,1.59558,0.0032185,0.0032185,0.0032185
139,14217,0.55023,0.5196,1.138,0.95089,0.89996,0.92593,0.82465,0.74412,0.46272,1.59404,0.003169,0.003169,0.003169
140,14326.9,0.5529,0.52528,1.14173,0.95048,0.90038,0.92593,0.82479,0.74413,0.46257,1.59427,0.0031195,0.0031195,0.0031195
141,14438.2,0.54735,0.51847,1.13643,0.95075,0.90008,0.92578,0.82441,0.74388,0.46261,1.59294,0.00307,0.00307,0.00307
142,14549.2,0.54873,0.5202,1.13877,0.95071,0.90003,0.92579,0.82374,0.74456,0.46309,1.59301,0.0030205,0.0030205,0.0030205
143,14660.5,0.54477,0.51945,1.13321,0.95082,0.89909,0.92574,0.82342,0.7448,0.46441,1.59327,0.002971,0.002971,0.002971
144,14770.8,0.54589,0.51638,1.13534,0.9506,0.89969,0.92557,0.82414,0.74484,0.46424,1.59312,0.0029215,0.0029215,0.0029215
145,14876.1,0.54233,0.50796,1.1321,0.95067,0.8994,0.92559,0.82306,0.74503,0.46424,1.59258,0.002872,0.002872,0.002872
146,14999.9,0.54237,0.50072,1.13304,0.95061,0.8997,0.92548,0.82365,0.74399,0.46355,1.5914,0.0028225,0.0028225,0.0028225
147,15118.7,0.54133,0.50677,1.12985,0.95046,0.89887,0.92561,0.82371,0.74434,0.46315,1.5919,0.002773,0.002773,0.002773
148,15237.4,0.54172,0.50589,1.13242,0.94944,0.89844,0.92552,0.82421,0.74414,0.46396,1.59399,0.0027235,0.0027235,0.0027235
149,15355.9,0.54266,0.5053,1.13388,0.94948,0.89845,0.92571,0.82457,0.74353,0.46503,1.59349,0.002674,0.002674,0.002674
150,15474.3,0.53715,0.50214,1.13143,0.9492,0.89868,0.92533,0.82366,0.74381,0.46454,1.59402,0.0026245,0.0026245,0.0026245
151,15592.2,0.53405,0.49976,1.12479,0.94824,0.89902,0.9253,0.82321,0.74418,0.4636,1.59418,0.002575,0.002575,0.002575
152,15708.7,0.54257,0.49622,1.12949,0.94615,0.9015,0.92526,0.82358,0.74408,0.46332,1.59429,0.0025255,0.0025255,0.0025255
153,15826.9,0.53402,0.49672,1.12734,0.94892,0.90058,0.92677,0.82277,0.74397,0.46334,1.59418,0.002476,0.002476,0.002476
154,15936.9,0.53409,0.48903,1.12515,0.94976,0.90206,0.92639,0.82239,0.74398,0.46374,1.59371,0.0024265,0.0024265,0.0024265
155,16043.2,0.5328,0.49344,1.12448,0.9491,0.90128,0.92601,0.82241,0.74348,0.46372,1.59412,0.002377,0.002377,0.002377
156,16147.4,0.53366,0.48807,1.12315,0.94689,0.90375,0.92597,0.82113,0.74335,0.46303,1.59461,0.0023275,0.0023275,0.0023275
157,16251.5,0.53102,0.4918,1.12344,0.94702,0.90399,0.9261,0.82151,0.74323,0.46231,1.59457,0.002278,0.002278,0.002278
158,16356,0.53278,0.4906,1.12067,0.94705,0.90427,0.926,0.8208,0.74282,0.46168,1.59431,0.0022285,0.0022285,0.0022285
159,16461.8,0.52682,0.48469,1.11838,0.94696,0.90429,0.92601,0.82076,0.74303,0.46137,1.5941,0.002179,0.002179,0.002179
160,16566.3,0.52355,0.47678,1.11652,0.94709,0.9043,0.926,0.82096,0.74377,0.46037,1.59471,0.0021295,0.0021295,0.0021295
161,16670.7,0.52283,0.47945,1.11748,0.94675,0.90367,0.9259,0.8212,0.74362,0.46106,1.59468,0.00208,0.00208,0.00208
162,16776.6,0.52028,0.46751,1.11559,0.9471,0.9031,0.92602,0.82137,0.74357,0.46177,1.59636,0.0020305,0.0020305,0.0020305
163,16880.2,0.52154,0.46237,1.11794,0.94681,0.90313,0.92608,0.82161,0.74391,0.46233,1.59736,0.001981,0.001981,0.001981
164,16984.2,0.52085,0.4697,1.11208,0.94698,0.90304,0.92617,0.82133,0.74379,0.46287,1.59833,0.0019315,0.0019315,0.0019315
165,17089.6,0.51919,0.46926,1.11387,0.94662,0.9033,0.92616,0.82152,0.74444,0.4627,1.5995,0.001882,0.001882,0.001882
166,17194.4,0.5198,0.47408,1.11576,0.94644,0.90327,0.92646,0.82148,0.7445,0.46257,1.59944,0.0018325,0.0018325,0.0018325
167,17299.5,0.51637,0.45969,1.10973,0.94596,0.9032,0.92637,0.82198,0.74387,0.46311,1.59975,0.001783,0.001783,0.001783
168,17404.3,0.51618,0.46128,1.1051,0.9457,0.90309,0.9266,0.82226,0.74358,0.46194,1.59946,0.0017335,0.0017335,0.0017335
169,17510.3,0.51086,0.4592,1.10618,0.94602,0.90256,0.92661,0.82278,0.74377,0.46172,1.6008,0.001684,0.001684,0.001684
170,17614.8,0.50921,0.45583,1.10559,0.94633,0.90228,0.92645,0.82256,0.74353,0.46184,1.60072,0.0016345,0.0016345,0.0016345
171,17718.7,0.51245,0.45937,1.10974,0.94591,0.90265,0.92659,0.82201,0.74302,0.46276,1.60224,0.001585,0.001585,0.001585
172,17824.1,0.51072,0.46179,1.10626,0.94575,0.90299,0.92681,0.82206,0.74357,0.46306,1.6046,0.0015355,0.0015355,0.0015355
